Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES0500000056,2006,M03,2006 Mar,3903485, N/A, N/A
CES0500000056,2006,M04,2006 Apr,3920216,16731,0.4
CES0500000056,2006,M05,2006 May,3921210,994,0.0
CES0500000056,2006,M06,2006 Jun,3935566,14356,0.4
CES0500000056,2006,M07,2006 Jul,3929031,-6535,-0.2
CES0500000056,2006,M08,2006 Aug,3933421,4390,0.1
CES0500000056,2006,M09,2006 Sep,3947125,13704,0.3
CES0500000056,2006,M10,2006 Oct,3936954,-10171,-0.3
CES0500000056,2006,M11,2006 Nov,3944020,7066,0.2
CES0500000056,2006,M12,2006 Dec,3973193,29173,0.7
CES0500000056,2007,M01,2007 Jan,3957568,-15625,-0.4
CES0500000056,2007,M02,2007 Feb,3959009,1441,0.0
CES0500000056,2007,M03,2007 Mar,3977741,18732,0.5
CES0500000056,2007,M04,2007 Apr,3978979,1238,0.0
CES0500000056,2007,M05,2007 May,3983520,4541,0.1
CES0500000056,2007,M06,2007 Jun,3997343,13823,0.3
CES0500000056,2007,M07,2007 Jul,3985962,-11381,-0.3
CES0500000056,2007,M08,2007 Aug,3983210,-2752,-0.1
CES0500000056,2007,M09,2007 Sep,3984346,1136,0.0
CES0500000056,2007,M10,2007 Oct,3974581,-9765,-0.2
CES0500000056,2007,M11,2007 Nov,3988955,14374,0.4
CES0500000056,2007,M12,2007 Dec,3991157,2202,0.1
CES0500000056,2008,M01,2008 Jan,3990778,-379,0.0
CES0500000056,2008,M02,2008 Feb,3975576,-15202,-0.4
CES0500000056,2008,M03,2008 Mar,3983933,8357,0.2
CES0500000056,2008,M04,2008 Apr,3976227,-7706,-0.2
CES0500000056,2008,M05,2008 May,3968522,-7705,-0.2
CES0500000056,2008,M06,2008 Jun,3961917,-6605,-0.2
CES0500000056,2008,M07,2008 Jul,3941893,-20024,-0.5
CES0500000056,2008,M08,2008 Aug,3932221,-9672,-0.2
CES0500000056,2008,M09,2008 Sep,3906358,-25863,-0.7
CES0500000056,2008,M10,2008 Oct,3901454,-4904,-0.1
CES0500000056,2008,M11,2008 Nov,3852823,-48631,-1.2
CES0500000056,2008,M12,2008 Dec,3806733,-46090,-1.2
CES0500000056,2009,M01,2009 Jan,3790660,-16073,-0.4
CES0500000056,2009,M02,2009 Feb,3764990,-25670,-0.7
CES0500000056,2009,M03,2009 Mar,3715735,-49255,-1.3
CES0500000056,2009,M04,2009 Apr,3689202,-26533,-0.7
CES0500000056,2009,M05,2009 May,3679231,-9971,-0.3
CES0500000056,2009,M06,2009 Jun,3653956,-25275,-0.7
CES0500000056,2009,M07,2009 Jul,3655132,1176,0.0
CES0500000056,2009,M08,2009 Aug,3648473,-6659,-0.2
CES0500000056,2009,M09,2009 Sep,3654047,5574,0.2
CES0500000056,2009,M10,2009 Oct,3634784,-19263,-0.5
CES0500000056,2009,M11,2009 Nov,3645131,10347,0.3
CES0500000056,2009,M12,2009 Dec,3638351,-6780,-0.2
CES0500000056,2010,M01,2010 Jan,3648438,10087,0.3
CES0500000056,2010,M02,2010 Feb,3624171,-24267,-0.7
CES0500000056,2010,M03,2010 Mar,3649764,25593,0.7
CES0500000056,2010,M04,2010 Apr,3667319,17555,0.5
CES0500000056,2010,M05,2010 May,3670831,3512,0.1
CES0500000056,2010,M06,2010 Jun,3674650,3819,0.1
CES0500000056,2010,M07,2010 Jul,3688504,13854,0.4
