Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES0500000057,2006,M03,2006 Mar,78225839, N/A, N/A
CES0500000057,2006,M04,2006 Apr,78992352,766513,1.0
CES0500000057,2006,M05,2006 May,78933957,-58395,-0.1
CES0500000057,2006,M06,2006 Jun,79616500,682543,0.9
CES0500000057,2006,M07,2006 Jul,79720039,103539,0.1
CES0500000057,2006,M08,2006 Aug,79927115,207076,0.3
CES0500000057,2006,M09,2006 Sep,80560821,633706,0.8
CES0500000057,2006,M10,2006 Oct,80431970,-128851,-0.2
CES0500000057,2006,M11,2006 Nov,80812970,381000,0.5
CES0500000057,2006,M12,2006 Dec,81728580,915610,1.1
CES0500000057,2007,M01,2007 Jan,81486325,-242255,-0.3
CES0500000057,2007,M02,2007 Feb,81872306,385981,0.5
CES0500000057,2007,M03,2007 Mar,82458571,586265,0.7
CES0500000057,2007,M04,2007 Apr,82683184,224613,0.3
CES0500000057,2007,M05,2007 May,83016557,333373,0.4
CES0500000057,2007,M06,2007 Jun,83744336,727779,0.9
CES0500000057,2007,M07,2007 Jul,83505904,-238432,-0.3
CES0500000057,2007,M08,2007 Aug,83647410,141506,0.2
CES0500000057,2007,M09,2007 Sep,83830640,183230,0.2
CES0500000057,2007,M10,2007 Oct,83704676,-125964,-0.2
CES0500000057,2007,M11,2007 Nov,84246730,542054,0.6
CES0500000057,2007,M12,2007 Dec,84492794,246064,0.3
CES0500000057,2008,M01,2008 Jan,84604494,111700,0.1
CES0500000057,2008,M02,2008 Feb,84520746,-83748,-0.1
CES0500000057,2008,M03,2008 Mar,85096809,576063,0.7
CES0500000057,2008,M04,2008 Apr,85011733,-85076,-0.1
CES0500000057,2008,M05,2008 May,85204167,192434,0.2
CES0500000057,2008,M06,2008 Jun,85220835,16668,0.0
CES0500000057,2008,M07,2008 Jul,85144889,-75946,-0.1
CES0500000057,2008,M08,2008 Aug,85329196,184307,0.2
CES0500000057,2008,M09,2008 Sep,84846096,-483100,-0.6
CES0500000057,2008,M10,2008 Oct,84895639,49543,0.1
CES0500000057,2008,M11,2008 Nov,84261239,-634400,-0.7
CES0500000057,2008,M12,2008 Dec,83519722,-741517,-0.9
CES0500000057,2009,M01,2009 Jan,83242894,-276828,-0.3
CES0500000057,2009,M02,2009 Feb,82792130,-450764,-0.5
CES0500000057,2009,M03,2009 Mar,81969114,-823016,-1.0
CES0500000057,2009,M04,2009 Apr,81494472,-474642,-0.6
CES0500000057,2009,M05,2009 May,81347797,-146675,-0.2
CES0500000057,2009,M06,2009 Jun,80898586,-449211,-0.6
CES0500000057,2009,M07,2009 Jul,81070828,172242,0.2
CES0500000057,2009,M08,2009 Aug,81105555,34727,0.0
CES0500000057,2009,M09,2009 Sep,81339086,233531,0.3
CES0500000057,2009,M10,2009 Oct,81055683,-283403,-0.3
CES0500000057,2009,M11,2009 Nov,81468678,412995,0.5
CES0500000057,2009,M12,2009 Dec,81353528,-115150,-0.1
CES0500000057,2010,M01,2010 Jan,81761496,407968,0.5
CES0500000057,2010,M02,2010 Feb,81362639,-398857,-0.5
CES0500000057,2010,M03,2010 Mar,81973699,611060,0.8
CES0500000057,2010,M04,2010 Apr,82478004,504305,0.6
CES0500000057,2010,M05,2010 May,82703822,225818,0.3
CES0500000057,2010,M06,2010 Jun,82789865,86043,0.1
CES0500000057,2010,M07,2010 Jul,83323305,533440,0.6
CES0500000057,2010,M08,2010 Aug,83552331,229026,0.3
CES0500000057,2010,M09,2010 Sep,84050295,497964,0.6
CES0500000057,2010,M10,2010 Oct,84489992,439697,0.5
CES0500000057,2010,M11,2010 Nov,84565101,75109,0.1
CES0500000057,2010,M12,2010 Dec,84756351,191250,0.2
CES0500000057,2011,M01,2011 Jan,84892279,135928,0.2
CES0500000057,2011,M02,2011 Feb,85376203,483924,0.6
CES0500000057,2011,M03,2011 Mar,85570758,194555,0.2
CES0500000057,2011,M04,2011 Apr,86234340,663582,0.8
CES0500000057,2011,M05,2011 May,86620352,386012,0.4
CES0500000057,2011,M06,2011 Jun,86889373,269021,0.3
CES0500000057,2011,M07,2011 Jul,87364316,474943,0.5
CES0500000057,2011,M08,2011 Aug,87127777,-236539,-0.3
CES0500000057,2011,M09,2011 Sep,87773993,646216,0.7
CES0500000057,2011,M10,2011 Oct,88491435,717442,0.8
CES0500000057,2011,M11,2011 Nov,88333307,-158128,-0.2
CES0500000057,2011,M12,2011 Dec,88620918,287611,0.3
