,Monthly Nominal GDP Index,Monthly Real GDP Index,,
1992 - Jan,6315.524,9485.623,,
1992 - Feb,6356.727,9527.945,,
1992 - Mar,6417.056,9606.173,,
1992 - Apr,6443.170,9612.231,,
1992 - May,6433.785,9594.318,,
1992 - Jun,6535.334,9723.467,,
1992 - Jul,6557.164,9739.855,,
1992 - Aug,6556.863,9721.073,,
1992 - Sep,6585.896,9754.991,,
1992 - Oct,6637.499,9809.803,,
1992 - Nov,6680.169,9837.279,,
1992 - Dec,6724.740,9873.414,,
1993 - Jan,6717.909,9858.640,,
1993 - Feb,6741.541,9874.071,,
1993 - Mar,6728.928,9837.054,,
1993 - Apr,6768.198,9875.845,,
1993 - May,6824.219,9934.464,,
1993 - Jun,6834.399,9931.548,,
1993 - Jul,6832.718,9909.409,,
1993 - Aug,6874.014,9948.975,,
1993 - Sep,6939.563,10025.384,,
1993 - Oct,6944.387,10022.279,,
1993 - Nov,7035.960,10120.667,,
1993 - Dec,7060.868,10147.312,,
1994 - Jan,7074.337,10145.729,,
1994 - Feb,7122.980,10202.325,,
1994 - Mar,7149.639,10236.125,,
1994 - Apr,7186.404,10270.620,,
1994 - May,7290.284,10369.453,,
1994 - Jun,7264.106,10358.515,,
1994 - Jul,7299.059,10361.381,,
1994 - Aug,7351.815,10432.060,,
1994 - Sep,7342.351,10386.518,,
1994 - Oct,7429.299,10481.975,,
1994 - Nov,7431.613,10475.205,,
1994 - Dec,7504.952,10580.265,,
1995 - Jan,7542.145,10582.718,,
1995 - Feb,7488.409,10506.351,,
1995 - Mar,7536.313,10560.523,,
1995 - Apr,7538.853,10528.148,,
1995 - May,7560.737,10557.596,,
1995 - Jun,7643.401,10658.696,,
1995 - Jul,7630.589,10605.927,,
1995 - Aug,7674.210,10663.978,,
1995 - Sep,7744.576,10744.711,,
1995 - Oct,7747.375,10698.641,,
1995 - Nov,7747.732,10717.164,,
1995 - Dec,7822.651,10816.717,,
1996 - Jan,7840.018,10794.075,,
1996 - Feb,7852.943,10811.099,,
1996 - Mar,7912.443,10869.463,,
