Period,Value
Jan-92,NA
Feb-92,0.1
Mar-92,-0.3
Apr-92,0.6
May-92,0.5
Jun-92,0.3
Jul-92,0.7
Aug-92,0.3
Sep-92,1
Oct-92,0.7
Nov-92,0.2
Dec-92,1.2
Jan-93,1.2
Feb-93,-0.8
Mar-93,-0.8
Apr-93,2.6
May-93,0.9
Jun-93,-0.2
Jul-93,1.5
Aug-93,0
Sep-93,0.6
Oct-93,0.6
Nov-93,1
Dec-93,0.9
Jan-94,-0.7
Feb-94,1.6
Mar-94,1.9
Apr-94,0
May-94,-0.4
Jun-94,1.2
Jul-94,0.3
Aug-94,1.2
Sep-94,0.8
Oct-94,0.9
Nov-94,0.1
Dec-94,0.5
Jan-95,0.4
Feb-95,-1.6
Mar-95,0.9
Apr-95,0.4
May-95,1
Jun-95,1.2
Jul-95,-0.3
Aug-95,0.8
Sep-95,0.2
Oct-95,-0.4
Nov-95,1.2
Dec-95,0.8
Jan-96,-0.8
Feb-96,1.6
Mar-96,0.9
Apr-96,0.4
May-96,0.8
Jun-96,-0.1
Jul-96,0.1
Aug-96,0
Sep-96,1.3
Oct-96,0.8
Nov-96,0
Dec-96,0.5
Jan-97,0.7
Feb-97,0.9
Mar-97,0.3
Apr-97,-0.7
May-97,-0.8
Jun-97,1.4
Jul-97,1.2
Aug-97,0.3
Sep-97,0.4
Oct-97,-0.2
Nov-97,0.3
Dec-97,0.3
Jan-98,0.2
Feb-98,0
Mar-98,0.6
Apr-98,1.2
May-98,0.5
Jun-98,0.8
Jul-98,-0.7
Aug-98,-0.4
Sep-98,0.9
Oct-98,1.7
Nov-98,0.7
Dec-98,0.9
Jan-99,0.1
Feb-99,1.1
Mar-99,0.5
Apr-99,0.7
May-99,0.9
Jun-99,0.3
Jul-99,0.8
Aug-99,1.1
Sep-99,0.4
Oct-99,0.2
Nov-99,1.2
Dec-99,1.8
Jan-00,-0.7
Feb-00,1.5
Mar-00,1.2
Apr-00,-1.5
May-00,0.1
Jun-00,0.7
Jul-00,-0.3
Aug-00,0.1
Sep-00,1.7
Oct-00,-0.2
Nov-00,-0.3
Dec-00,-0.1
Jan-01,1.1
Feb-01,0
Mar-01,-0.8
Apr-01,1.6
May-01,0.2
Jun-01,-0.4
Jul-01,-0.3
Aug-01,0.7
Sep-01,-1.9
Oct-01,6.7
Nov-01,-2.5
Dec-01,-1.2
Jan-02,-0.1
Feb-02,0.5
Mar-02,-0.3
Apr-02,1.6
May-02,-1.3
Jun-02,0.8
Jul-02,1
Aug-02,0.8
Sep-02,-1.4
Oct-02,0.4
Nov-02,0.7
Dec-02,0.8
Jan-03,0.4
Feb-03,-1.4
Mar-03,1.8
Apr-03,-0.2
May-03,0.3
Jun-03,1.1
Jul-03,1
Aug-03,1.7
Sep-03,-0.6
Oct-03,-0.4
Nov-03,1.2
Dec-03,-0.4
Jan-04,0.6
Feb-04,0.7
Mar-04,1.8
Apr-04,-1.1
May-04,1.7
Jun-04,-1.3
Jul-04,1.1
Aug-04,0.1
Sep-04,1.8
Oct-04,0.7
Nov-04,0.3
Dec-04,1.2
Jan-05,-1
Feb-05,1.3
Mar-05,0.2
Apr-05,0.9
May-05,-0.6
Jun-05,2.8
Jul-05,0.7
Aug-05,-0.9
Sep-05,0.2
Oct-05,0
Nov-05,0.9
Dec-05,0
Jan-06,2.9
Feb-06,-0.7
Mar-06,0.3
Apr-06,0.5
May-06,-0.2
Jun-06,0.3
Jul-06,0.3
Aug-06,0.5
Sep-06,-0.5
Oct-06,-0.1
Nov-06,0.2
Dec-06,1.2
Jan-07,0
Feb-07,0.1
Mar-07,0.9
Apr-07,-0.3
May-07,1.3
Jun-07,-0.7
Jul-07,0.4
Aug-07,0.5
Sep-07,0.4
Oct-07,0.6
Nov-07,1
Dec-07,-1.2
Jan-08,0.3
Feb-08,-0.9
Mar-08,0.2
Apr-08,0
May-08,0.9
Jun-08,0.1
Jul-08,-0.4
Aug-08,-0.7
Sep-08,-1.5
Oct-08,-3.8
Nov-08,-3.9
Dec-08,-2.1
Jan-09,1.5
Feb-09,-0.4
Mar-09,-1.7
Apr-09,0.5
May-09,0.9
Jun-09,1.7
Jul-09,0.2
Aug-09,1.8
Sep-09,-2.4
Oct-09,0.9
Nov-09,0.8
Dec-09,0.5
Jan-10,0
Feb-10,0.2
Mar-10,2.1
Apr-10,0.9
May-10,-0.9
Jun-10,-0.1
Jul-10,0.3
Aug-10,0.6
Sep-10,0.8
Oct-10,1.2
Nov-10,1
Dec-10,0.6
Jan-11,0.7
Feb-11,0.9
Mar-11,0.9
Apr-11,0.5
May-11,0
Jun-11,0.8
Jul-11,-0.1
Aug-11,0.2
Sep-11,1
Oct-11,0.6
Nov-11,0.3
Dec-11,0.1
Jan-12,1
Feb-12,1.2
Mar-12,0.4
Apr-12,-0.4
