Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES0000000001,1939,M01,1939 Jan,29923, N/A, N/A
CES0000000001,1939,M02,1939 Feb,30100,177,0.6
CES0000000001,1939,M03,1939 Mar,30280,180,0.6
CES0000000001,1939,M04,1939 Apr,30094,-186,-0.6
CES0000000001,1939,M05,1939 May,30299,205,0.7
CES0000000001,1939,M06,1939 Jun,30502,203,0.7
CES0000000001,1939,M07,1939 Jul,30419,-83,-0.3
CES0000000001,1939,M08,1939 Aug,30663,244,0.8
CES0000000001,1939,M09,1939 Sep,31031,368,1.2
CES0000000001,1939,M10,1939 Oct,31411,380,1.2
CES0000000001,1939,M11,1939 Nov,31470,59,0.2
CES0000000001,1939,M12,1939 Dec,31542,72,0.2
CES0000000001,1940,M01,1940 Jan,31603,61,0.2
CES0000000001,1940,M02,1940 Feb,31715,112,0.4
CES0000000001,1940,M03,1940 Mar,31825,110,0.3
CES0000000001,1940,M04,1940 Apr,31701,-124,-0.4
CES0000000001,1940,M05,1940 May,31879,178,0.6
CES0000000001,1940,M06,1940 Jun,31977,98,0.3
CES0000000001,1940,M07,1940 Jul,31942,-35,-0.1
CES0000000001,1940,M08,1940 Aug,32352,410,1.3
CES0000000001,1940,M09,1940 Sep,32810,458,1.4
CES0000000001,1940,M10,1940 Oct,33267,457,1.4
CES0000000001,1940,M11,1940 Nov,33669,402,1.2
CES0000000001,1940,M12,1940 Dec,34174,505,1.5
CES0000000001,1941,M01,1941 Jan,34481,307,0.9
CES0000000001,1941,M02,1941 Feb,34843,362,1.0
CES0000000001,1941,M03,1941 Mar,35092,249,0.7
CES0000000001,1941,M04,1941 Apr,35468,376,1.1
CES0000000001,1941,M05,1941 May,36182,714,2.0
CES0000000001,1941,M06,1941 Jun,36650,468,1.3
CES0000000001,1941,M07,1941 Jul,37137,487,1.3
CES0000000001,1941,M08,1941 Aug,37544,407,1.1
CES0000000001,1941,M09,1941 Sep,37835,291,0.8
CES0000000001,1941,M10,1941 Oct,37949,114,0.3
CES0000000001,1941,M11,1941 Nov,38024,75,0.2
CES0000000001,1941,M12,1941 Dec,38104,80,0.2
CES0000000001,1942,M01,1942 Jan,38347,243,0.6
CES0000000001,1942,M02,1942 Feb,38512,165,0.4
CES0000000001,1942,M03,1942 Mar,38935,423,1.1
CES0000000001,1942,M04,1942 Apr,39352,417,1.1
CES0000000001,1942,M05,1942 May,39771,419,1.1
CES0000000001,1942,M06,1942 Jun,40029,258,0.6
CES0000000001,1942,M07,1942 Jul,40472,443,1.1
CES0000000001,1942,M08,1942 Aug,40988,516,1.3
CES0000000001,1942,M09,1942 Sep,41259,271,0.7
CES0000000001,1942,M10,1942 Oct,41515,256,0.6
CES0000000001,1942,M11,1942 Nov,41674,159,0.4
CES0000000001,1942,M12,1942 Dec,41915,241,0.6
CES0000000001,1943,M01,1943 Jan,42172,257,0.6
CES0000000001,1943,M02,1943 Feb,42393,221,0.5
CES0000000001,1943,M03,1943 Mar,42552,159,0.4
CES0000000001,1943,M04,1943 Apr,42647,95,0.2
CES0000000001,1943,M05,1943 May,42596,-51,-0.1
CES0000000001,1943,M06,1943 Jun,42781,185,0.4
CES0000000001,1943,M07,1943 Jul,42700,-81,-0.2
